Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
1 July 1956; 24 October 1956,Gerald Lionel Federer; Sigmund Eisenscher,,,"Gerald Lionel Federer was dropped from the University of Wisconsin due to poor grades.; Federer was in contact with Sigmund Eisenscher, the State Chairman of the Communist Party in Milwaukee, Wisconsin.; Federer apparently returned to New York on 1 July 1956.","University of Wisconsin; Communist Party in Milwaukee, Wisconsin; New York",,Federer had contact with Sigmund Eisenscher.,"Document marked as ""SECRET""; For file:",626
Passport No. 69190 issued 5/23/56; Visited Tass News Agency on 20 March 1955; Described on 15 August 1957,Ninel E. Goldstein; Alfredo Henley (father); Lillian Henley (stepmother),,,"Ninel E. Goldstein visited Tass News Agency, New York City; Ninel resided at 2670 Colby Court, Brooklyn, New York; Alleged association with Communist Party Youth Group in New York City","Tass News Agency, New York City; Soviet Embassy (employed Lillian Henley in 1954); 2670 Colby Court, Brooklyn, New York",,Not specifically indicated,"Document marked ""SECRET""; For file:",627
Passport issued; 4/23/57; Date mentioned; 23 January 1958; Date next to photo; 4/27/57,Faye Goodman; O'Connell (a member of the group),,,"File check results discussed.; Mention of gathering information on ""the subject.""","C.I.T. - U.S.A; Residence; New York; Communication referring to ""DBG - 97144.""",,O'Connell provided observations about the subject.,"Document marked as ""SECRET.""; For file:",628
15 December 1954; October 1953; October 1956; 23 October 1957,Joanne Grant,,,,Emergency Civil Liberties Committee (ECLC); American Committee For Protection of Foreign Born; Socialist Workers Party,,,,629
Passport issued 9/11/56.; Telegram dated 10 Sept 57.; Reference to January 1958.,Betty Hamilton; Shelby Tucker; Ken O'Donnell,,,Shelby Tucker went to China and refused to surrender a passport.; Subject (Betty Hamilton) associated with actions and observations on communism.,C.I.T.O.S.A; Residence noted as New York; State Department,,,"Document marked as ""SECRET""; For file:",630
Passport issued 5/2/56; Rejected from military service on 18 September 1951; Records dated September 1951; Subject registered with the American Labor Party in 1952; Document reference dated 18 July 1957,David Manship Hollister; Ruth Manship Hollister,,,,American Labor Party; Los Angeles Communist Party; Harvard Youth for Democracy; Communist Party (secret member),,None explicitly mentioned,"Document marked ""SECRET""; For file:; ```plaintext",631
October 1956; 1955; 1956; 1957; 6/7/57; 20 August 1957,Nina Serrano Landau; Saul Landau,,,"Nina and Saul Landau were students at the University of Wisconsin.; Both were active in the Student Peace Center at the University of Wisconsin.; Saul Landau attended public meetings sponsored by the Labor Youth League.; Saul Landau visited the Soviet Embassy in Washington, D.C.",,,,"Document marked as ""SECRET"".; ```; For file:",632
Passport issued; 4/6/56; Document dated; 3/26/56; Moscow Festival briefing; 30 August 1957; State Department telegram; 10 September 1957,Dick Lane; Shelby Tucker; Richard Reno Lane,,,U.S. passport issued to Dick Lane on 4/6/56.; SR Division briefed the subject before attending the Moscow Festival.; Shelby Tucker refused to give the Chinese his passport and stated the subject was non-Communist.,Residence; Los Angeles; Event; Moscow Festival,,State Department Incoming Telegram (No. 513),"Document marked as ""SECRET""; For file:",633
Warsaw Peace Congress; 16-23 November 1950; Article publication; October 1950; Boston Globe article; 5 November 1948; Meeting at Jordan Hall; 16 November 1948; Witness account date; 5 January 1952; Rev. McKenna's statement; 11 January 1952; Address at Meeting Stadium; 15 August 1950; Trial of Inez C. Otto; April 1955,Warren McKenna; Reverend Buhl; Reverend Joseph Fletcher; Reverend Harold N. McKenna; Dr. Harlow Shapley; Inez C. Otto; Liscomb (alias,,,"A new publication titled ""Our Common Concerns"" was produced.; Inez C. Otto and Rev. McKenna's participation in Warsaw Peace Congress.; Jordan Hall meeting featuring Dr. Harlow Shapley.",Massachusetts Action Committee for Peace; Stockholm Peace Pledge; St. John's Episcopal Church; State Department; National Council of American-Soviet Friendship,,Reverend Harold N. McKennas communications involve quoting Dr. Shapley and discussions on visas.,"Document marked ""SECRET"" at top and bottom.; For file:",634
1/6/54; 2/1/54; 27-28 March 1955; 12/6/54; 29 July 1955,Warren Henry McKenna; Rev. Warren McKenna; Informant,,,Testified but refused to provide further information.; Attended the National Legislative Conference on 27-28 March 1955.; Mentioned in relation to the Chicago Woman for Peace meeting on 12/6/54.,"Communist Party; New England Representative of the American Committee for Protection of Foreign Born; National Legislative Conference; American Committee for Protection of Foreign Born; Washington, D.C.; Chicago Woman for Peace",,Informant provided reports regarding subject's activities and associations.,Document marked as 'Secret.'; For file:; ```plaintext,635
6 October 1957; 14 October 1957,Daniel M. O'Connell; Reverend Warren McKenna,,,O'Connell attended the Moscow Youth Festival and toured Communist China.; He provided information to the Consulate General in Hong Kong.; O'Connell commented on McKennas drinking and political views.,American Youth group; Hong Kong; Moscow Youth Festival; London,,,"Classified as ""SECRET""; ```; For file:",636
13 August 1956; May 1956; 15 June 1953,Genevieve Nowacki; Stella (Genevieve's mother); Lorraine Nowacki; Ben Kocel,,,"Stella traveled to Poland and returned to the US in 1956.; Lorraine was the campaign manager for Ben Kocel.; Lorraine and Ben obtained over 1,800 signatures for a petition in Detroit.","International Workers Order, Lodge No. 3503; Polish Embassy; Detroit, Michigan; State Legislative representation of Michigan",,Stella attended receptions with representatives of the Polish Embassy.,Document labeled as 'SECRET',637
Passport issued 6/25/57; Telegram dated 10 September 1957; Document references May 1957 and 16 May 1957,Dan O'Connell (Daniel Myles); Shelby Tucker,,,"IO Division informants attended the Moscow Festival and reported the subject as anti-Communist.; Shelby Tucker went to China, refused to give his passport to Chinese, later surrendered it at the Chinese frontier.; Dan O'Connell listed as the Publicity Director of the United States Youth Festival Committee.","Residence in Chicago, Illinois; United States Youth Festival Committee; Mention of Moscow Festival; Reference to Peking (Beijing), China",,State Department Incoming Telegram No. 513 from Moscow,"Document labeled ""SECRET""; For file:",638
19 Sept 57; 30 July 1957; 5/11/56,Jacob Rosen; Max Frankel,,,"Jacob Rosen attended the World Youth Festival in Moscow, USSR, as reported by Max Frankel in the New York Times.; Rosen carried the United States flag at the events opening.","The Campus and Marxist Discussion Club, student groups at the City College of New York; City College of New York; New York Times; Moscow, USSR; Lenin Stadium",,,"Document marked as ""Secret""; For file:; ```plaintext",639
Passport issued 4/12/56; Photo dated 3/27/56,Larry Schwartz; Lawrence Russell Schwartz,,,The IO Division's informants who attended the Moscow Festival reported the subject's anti-Communist stance.,"IO Division; Residence; Utica, Michigan",,Document mentions informants communicating opinions to the IO Division.,,640
"21 Nov, 57",Lawrence Schwartz; Alias; Larry Schwartz,,,Lawrence Schwartz recently arrived in Hong Kong from a tour in Communist China. He made observations about; Communist China published in the New York Times.,Communist China; Hong Kong; New York Times,,,"Document marked as ""SECRET""; For file:",641
"November 21, 1957; President Cleveland due in Honolulu December 3","Lawrence Schwartz, member of the Youth Festival group",,,"Sent Department 865, repeated information for Kobe 2, Yokohama 3",,,From Hong Kong to Secretary of State,Unclassified; For file:,642
"1945; 1946; January 31, 1946; 1948; 1949; February 20, 1956; December 13, 1955",Margaret Seeger; Peter Seeger,,,"Peter Seeger reported as a member of the Communist Party in 1945.; Organizer of People's Songs, Inc. in 1946.; Served as editor, executive chairman, and national director.; Dissolution of People's Songs, Inc. in 1949.; People's Songs, Inc. identified as a Communist front by 1948 report.; Peter Seeger part of the Weavers, appeared at Communist Party meetings.","People's Songs, Inc.",,None noted.,"Document marked as ""SECRET.""; For file:",643
,"Mr. Tucker; Rockwood H. Caster, Second Secretary of Embassy; Edwin L. Martin, First Secretary of Embassy",,,Mr. Tucker took photographs during his stay in China.; Photographs are to be forwarded to the Department under separate cover.,Embassy in London; Taipei; Hong Kong; Reference to China,,Document approved by Edwin L. Martin.,,644
16 Aug 1968; 19 Aug 1968,Mr. Buser,,,Copies of the dock receipt and bill of lading are being forwarded under cover of a process sheet.,"Moore McCormack Lines; New York City; VP, South American Opns",,Priority Contacts/Washington; Contact and Source; Mr. Buser; Process sheet typed in CSS,SECRET; Some sections redacted by overstriking and blurring.; For file:; ```plaintext,645
14 November 1966,Winfred Clark Barnes,,,Employment with various oil companies from 1927 to 1966.,"Central Intelligence Agency; Miami, Florida; Gatesville, Texas; Coral Gables, Florida; Havana, Cuba; Pearsall High School, Texas; University of Texas, Austin, Texas; University of Pittsburgh",,Not specified.,Not specified.; ```; For file:,646
24 April 1958,,,,An original memo from WH/III was forwarded to Security.,WH/III (potential organization or division reference); Security (perhaps a department or office),,Memo communication documented as sent to Security.,For file:,647
17 April 1958; 3 July 1957; May 1958,Harold R. Horemak (ps); Arthur G. Vaivada (ps); J.C. King,,,Request for CIA to grant authorization to Harold R. Horemak for work in Mexico City.; Transfer of Horemak to Mexico City for Project LITHUBZ.,CIA; Mexico City,,"Memo from J.C. King to Chief, Office of Security.",Classified as 'Secret'; For file:,648
,,,,Briefing by CI/ICD and WH/III Mexico representatives.,CI/ICD; WH/III; Mexico; Safehouse; For file:,,,,649
11 April 1958; 21 April 1958 to 23 May 1958; 25 June 1956,Louis D. Puckett; R. L. Dahlgren,,,"Request for a safehouse in Washington, D.C.; Occupation of the safehouse by one career agent and personnel from the CI Staff and WH/III/Mexico.; Agent covers as an employee of Public Surveys Institute, a medical polling firm in Dallas, Texas.; Taking of photos during an operational trip, published in newspapers.","Office of Logistics; Central Cover Branch, ID/P; WH/III/Mexico; CIA; Mexico City Station; Public Surveys Institute; New York Times",,Memorandum directed to and through various branches and officers.,Noted classification and references with some redacted sections.; For file:,650
27 Feb 1961,PHS,,,None mentioned,None mentioned,,To; Processing Section,Secret classification noted; For file:,651
,[No names are mentioned in the visible portion],,,,"DeKalb Township, Illinois, USA; University of Costa Rica, San Jose, Costa Rica; University of San Carlos, Guatemala City, Guatemala; University of Havana, Havana, Cuba",,,Several sections appear to have redactions.; For file:,652
20 December 1956; 4 December 1956,Arthur G. Vavala; Miss Anne Kendall,,,Covert training request and recommendations for Arthur G. Vavala.,Mention of CP (Communist Party) operations.; References to Latin America and Cuba.,,Communication from C/CI/ID to C/CI/OA.,"Document marked as ""SECRET.""; For file:",653
1 December 1956; Project approval last on 5 October 1956; Operational clearance dated 19 July 1949; Training to commence on 14 January for six weeks,Pseudonym; Arthur G. VAYVADA; James B. Nolan; Hugh G. Menzaley,,,,"Director of Training; Assistant Chief for Covert Training, OS/TR; Chief, Western Hemisphere Division; 1021 Barton Hall, Extension 2056",,,Document marked as SECRET; For file:,654
,Not specified.,,,The subject has received special training as an agent.,U.S. Army Intelligence.,,The subject previously worked as a Principal Agent handling various sub-agents.,"Document marked as ""SECRET"".; For file:",655
7 Jan 66; Code; 072354Z,,,,Reference code; JMWAVE 1869,,,,Classified as SECRET; For file:,656
11 July; 12 July,,,,Request for an airlift leader team to move on the night of 11 July.,,,,"Document is marked as ""SECRET"" at the top and bottom.; For file:",657
9 December 1964; 25 September 1964; 14 January 1965 (Date Typed); 18 January 1965 (Date Dispatched),Andrew K. Reuteman,,,Transmittal of an amended Memorandum of Oral Commitment for Subject 201-332676 due to a raise in salary.,JMWAVE,,"Memo sent from Chief of Station, JMWAVE to Deputy Chief, WH/SA.","Classified as ""SECRET""; For file:",658
,Juan Francisco BLANCO Fernandez,,,,"6831 SW 6th Street, Miami, Florida",,,"Document labeled as ""SECRET""",659
25 August 1964,Juan F. BLANCO Hernandez,,,,"6831 SW 6 Street, Miami, Florida",,,Secret; For file:,660
30 June 1949,Rafael Arias,,,Receipt of cash for services rendered for the month of June.,Not specified.,,Not specified.,Not specified.; For file:; ```plaintext,661
Born 22 June 1922; Early 1949 (end of service),(Name redacted/unknown); Chief of Station,,,Served as a sergeant in the U.S. Air Force during World War II; Contacted by Chief of Station; Descriptions of Communist presentations,U.S. Air Force; Costa Rica (educational institution),,,"Document marked ""SECRET""; ```; For file:",662
"July 21, 1955; October 16, 1971","Wm. H. Wheeler, Jr.; E. J. Barrett",,,,"Chief of Station, San Jose; Chief, Foreign Division 7",,,"Document marked as ""SECRET""; For file:",663
,Chief of Station; HULKAROID,,,Direct contact is maintained only with HULKAROID by the Chief of Station. Sub-agents are managed individually under; HULKAROID's control.,,,,,664
7 December 1950; 1 January 1951; 1 February (no year specified),HUMBLE (Assumed to be a codename or alias),,,Planning permanent transfer to Panama on 1 February.; Request for approval by 1 January 1951 to allow overlap for orientation in duties and contacts.,Central Intelligence Agency; San Jose; Panama; HQS (assumed to be an abbreviation for Headquarters),,"From San Jose to Special Operations.; Action by parties; FDT and ADSO, STA, STB, STC, 11D, S/C (assumed codes or departments).","Document marked as ""SECRET.; Instructions indicating the document is not to be copied.; For file:",665
Period; 1 July to 30 September 1950.; Future consideration; April 1951.,Not specified.,,,Subject is contemplating moving to Panama in April 1951 for schooling and work with the organization.,Country; Costa Rica.; Locations; Panama.,,Subject is contacted personally by Station Chief.,Classification level; SECRET.; For file:,666
Period; 1 January to 31 March 1950.; Date; 31 March 1950.,,,,,Country; Costa Rica.,,,Classification; Secret.,667
22 June 1949,Informant Hugger,,,"Informant Hugger, formerly reporting through the subject, has been transferred to the control of Baconoid.",Reference to document TS-A-347,,,Document marked as DESENSITIZED.; For file:,668
1 June 1963; 21 July 1963; 31 August 1963; 27 November 1963; 18 December 1963; 22 January 1964; 7 February (year not specified),"Chief, Special Affairs Staff; Chief of Station, JMWAVE",,,Transmission of operational plan for AMEMBER VII.; AMEMBER team scheduled for infiltration and exfiltration on 7 February.; Plan involves infiltration into Matanzas Province and proceeding into Havana.,JMWAVE,,"Communication addressed to Chief, Special Affairs Staff from Chief of Station, JMWAVE.","Document marked as ""SECRET.""; For file:",669
,"AMICE-14; AMTRUNK-7; AMTRUNK-8; AMTRUNK-9 as ""Jose Lopez""; AMTRUNK-13 as ""Maximo""; AMAGREE-1 as ""Mario""; AMAKA-1 as ""Antonio""; AMABEL-1 as ""Terry""; Captain and Crew of ""NEPTUNE""",,,,"Reference to ""NEPTUNE"" (possibly a boat or ship)",,Agent personnel exposed to AMTRUNK-16,"Classified as ""SECRET""; Document marked as ""DESENSITIZED""; For file:",670
,,,,"Mention of a ""Five-man infiltration team (2 infiltrees, 2 guides and radop).""",,,,"Document marked as ""SECRET"" and ""RYBAT.""; Annotation ""DEESENSITIZED"" present.; For file:",671
,,,,,,,,"Document marked as ""SECRET"" and ""DESENSITIZED.""; For file:",672
,,,,,"Noted as ""SECRET"" and ""DESENSITIZED.""",,,"Document labeled as ""SECRET"" and marked as ""DESENSITIZED.""; For file:",673
24 June 1964,Not explicitly identifiable,,,Not explicitly identifiable,C/TSD/EB; C/WH/SA/MOB/PM; GH4408 Hdqrs; WDSA/ECOS/UXOS/OGT,,Not explicitly identifiable,"Document marked as ""SECRET""; For file:",674
,,,,,,,,For file:,675
281046Z,Lt. Manuel Cantillo Toirac; Suary Isla Oca; Mario Silvestre,,,"CIS contact involves Lt. Manuel Cantillo Toirac, noted as being connected to Cuban security.; A developing close friendship is mentioned with Cantillo, as directed by station.","Cuban Embassy, Madrid",,No specific method of communication indicated in the extract.,"Classified as ""SECRET""; For file:",676
Early December; March 1965,Andrew K. Reuteman,,,Mounting of Operation AIRTUM X; Dispatching of AIRTUM-13 to Madrid; Finalization of recruitment of AIRTUM-19; Staging of NIAMPCA recruiters for infiltration,Madrid,,,Classification; Secret; For file:,677
051617 APR 71; OCT 63; JAN 63; 5 APR 71,Madrid Info Director; Pedro M. Diaz; Pedro Manuel Diaz; Eloy Gutierrez Menoyo,,,"Inability to identify Pedro M. Diaz; Reference to Pedro Manuel Diaz residing in Miami, Florida, and member of the Isle of Pines Association in exile.","Isle of Pines Association; Isle of Pines Prison; Miami, Florida",,"Communication directed to a ""Madrid Info Director""","Document marked as ""SECRET""; CS Copy labeled as ""SECRET""; For file:",678
1963 (referenced in operation code),"""Subject"" with reference number (201-269349)",,,Role in coordinated U.S. Army clandestine operation,U.S. Army,,Reference to see document 201-269995,,679
05 Dec 68; 27 Jun 62; 18 Oct 56; 02 Oct 66,Pedro Diaz,,,N/A,"Moscow State U; USSR; Habana Province, San Jose de las Lajas",,"Mention of memo 85, dated 02 Oct 66",N/A; For file:,680
Born 10 March 24; Political asylum received May 59,,,,Received political asylum,"Manzanillas, Cuba; El Salvador; Former member of BRAC",,,"Document is classified as ""SECRET""; For file:",681
,"DIAZ, Pedro",,,,,,,"""201-53613 {TAB A, 1-685} (Page 3)""; Document numeration; 127949; For file:",682
15 Nov 02; 00 Jan 53; 30 Mar 52; 00 July 53,"Diaz, Pedro",,,Identified as Communist; Employed by Chilean State,"CIT Cuba; Public Works Employee; Chile; URRITIA; Montevideo, Uruguay; ATENSO",,None identified,No specific classifications or redactions noted; For file:,683
"December 3, 10",Gutierrez; AMPALM-4,,,Consideration regarding possible events in Cuba.; Discussion of participation of other exile groups in these events.,Miami,,Gutierrez continued with points concerning the involvement of exile groups.; Gutierrez requested a response to his plans.; AMPALM-4 not able to learn more than the information presented.,"Secret; Some redacted sections marked as 'File, VR'; For file:",684
16 Oct 69,"Gutierrez Menoyo, Eloy",,,Connected with the 2nd Front Escombrey; Mentioned in the debriefing of subject of 201-354143,The 2nd Front Escombrey,,,Secret; For file:,685
20 JUL 67; OCT 66,,,,Subject was transferred from Isla de Pinos prison to La Cabana prison in October 1966.,Isla de Pinos; La Cabana,,Not specified.,"Document marked as ""SECRET""; For file:",686
08 NOV 66,"Gutierrez, Elcy Menoyo; Jorge Roblejo-Urrie; Gutierrez, Cuban ambassador to Mexico",,,Mention of a prisoner list and negotiations for the exchange of political prisoners.; Alternate plan to kidnap Gutierrez and hold him for ransom for 70 prisoners in Cuba.,Mexico; Cuba,,Document references a communication involving Cuban and Mexican contexts.,"Document marked as ""SECRET""; For file:",687
"Mention of ""SMALL INVASION IN MAY 65""","GUTIERRE-MENJUTO, ELOY; ZUL 204949; SLW K DUW 7",,,"Involved in second front organization activity; Currently in a ""G-2"" prison since participating in the small invasion in May 65",CIE CUBA; ULC?,,None visible.,"Document marked as ""SECRET""; For file:",688
,Gutierrez Menoyo,,,,JMWAVE (CIA station in Miami); Inside Cuba,,"Mentions AMCORE-2, AMRAZOR-1, and AMSHADY-1 in agreement on demoralizing effect.","Document classified as ""SECRET"".; For file:",689
"February 11, 1965; February 12 (year not fully visible, possibly 1965)",LONG,,,None discernible,None discernible,,None discernible,"Document marked as ""SECRET""; For file:",690
,Huguet; Gutierrez; Reuteman,,,"Miami ACSI asked informally about opinions on operations regarding Huguet and Gutierrez.; Liaison with Huguet, viewed not as a controlled asset.; Reuteman expressed opinion about the improbability of ACSI concept working.",Miami ACSI,,Informal inquiry by Miami ACSI.,"Document marked as ""SECRET.""; For file:",691
2025 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992,Jitka Herbert,,,,HSCA (House Select Committee on Assassinations),,,"Deletions noted as ""third agency documents""; Not reviewed by HSCA; For file:; ```plaintext",692
22 Aug 72; 28 Aug 72; 19 Nov 26 (Born),Herbert Itkin; Womuse Empyrex; BKCrown (mentioned as recipient or subject of information),,,Herbert Itkin arrived in Santo Domingo on 22 Aug 72 from New York and returned the same day.; Engaged in espionage activities and has mafia connections.; Provided information to BKCrown on persons in Dominican Republic.,Santo Domingo; New York; DOMREP (Dominican Republic),,Empyrex liaison advised Herbert Itkin's movements and activities.,Secret classification; ```,693
Arrived; 22 AUG 72,F.E. Hubbard; Theodore G. Shackley; William V. Macleod,,,Subject prohibited from entering and returned to New York same day.,New York,,Requested HQS traces subject.,Secret classification; For file:,694
"Adah Itkin, born 4 May 1925, married 12 Dec. 1963; Diana Kane, born 8 Feb. 1930",Adah Itkin; Diana Kane,,,Marriage of Adah Itkin on 12 Dec. 1963,,,,; For file:,695
1-3-66; 1-4-61,Signature; J. Edgar Hoover,,,"Document references an approval and a note and return action, with specific mention of ""per conversation.""",Reference to a document number; IJ B3122634,,,None visible in the provided section.; For file:,696
Document date; 2/13/69,Mr. Holmes,,,,CI/R&A (presumably an agency or department),,"Seen by John Greaney and John Warner; neither has any problems with it.; Questions concerning ""B's business.""",Marked as Confidential; For file:,697
1957 (sometime that year),Herbert ITKIN; Phillip HARBIN; GUTIERREZ,,,Herbert ITKIN is a lawyer under U.S. protection and a prime witness in significant legal cases in New York City.; ITKIN met GUTIERREZ in New York while GUTIERREZ was at the United Nations.; ITKIN indicated GUTIERREZ as a friend and referenced a 1957 introduction to HARBIN in New Orleans.,United States authorities; Federal court in New York City; United Nations; New Orleans,,"ITKIN communicated with GUTIERREZ, presenting Phillip HARBIN.","Document marked as ""SECRET/RYBAT""; For file:",698
"March 2, 1965",Dr. Luis E. Gutierrez; Herbert Yakin,,,Plan to meet in April for mutual benefit discussions.,"Address; 300 Madison Avenue (14th Floor); San Salvador, Central America",,Letter communication from Herbert Yakin to Dr. Luis E. Gutierrez.,For file:,699
22 October 1969; 15 October 1968,Herbert Itkin; James Marcus; Edward Long; Paul V. Hanood,,,"An article from the 15 October 1968 edition of the New York Daily News was attached and shown to Edward Long,; who expressed no interest in it.",New York Daily News; JM/7 or JM/7/itt (possibly referring to a department or code),,An article shown to Edward Long by Paul V. Hanood.,"Marked as ""CONFIDENTIAL""; For file:",700
12 March 1968; 13 March (Year unspecified),Mr. Erich Isenstead; Mr. Goodwin,,,Attached is a copy of the letter our New York office sent to Kane in response to his inquiry regarding HTEXL.,CCS/Funding; LIGrant/bma; DCS/Operational Support Staff; 920 Key Bldg,,Communication involved sending a letter from the New York office to Kane.,"Document is marked as ""UNCLASSIFIED"".; For file:",701
"February 15, 1966; February 18, 1966",Mr. E. Kent Kane; W. L. Freund,,,Mr. Kane phoned Mr. Freund inquiring about a New York attorney.; Mr. Freund conducted inquiries and communicated results to Mr. Kane.,"P.O. Box 1254, Grand Central Station, New York 17, New York; Kane, Pennsylvania",,Mr. Kane communicated with Mr. Freund via phone.,Not specified.; For file:,702
"Case closed on 29 Dec 1961.; Robert Leger born 16 Feb 30.; October 1961; Resided at 5244 SW 3rd Court, Miami.","Robert Leger; Haitian Communist, secretary for Louis Dejoie.; Louis Dejoie; Former Haitian Senator, presidential candidate.; Robert Deschamps.; Lisa Leger; Worked for Westrade, Inc.",,,"Robert Leger was contacted by Haitian exiles but declined involvement.; Louis Dejoie plotted against Duvalier, traveled extensively, and became associated with business activities.","Westrade, Inc.; 5244 SW 3rd Court, Miami.; 16 E. 96th Street, New York City.",,"Interviews and associations involving Robert Leger, Louis Dejoie, and Robert Deschamps.","Document marked ""Secret"".; For file:",703
June 1964,LNERSO; Robert Deschamps; B[eniventura] (Sanchez) Felix (201-1303120); Juan Bosch; Victor Leon (Aybar) de Sosa; Mary Boswell,,,Interview with LNERSO in June 1964 at Robert Deschamps' home.; LNERSO disclaimed involvement in anti-Duvalier activities.; Felix served as Minister of Education during Juan Bosch's administration and was appointed ambassador to Venezuela.; Victor Leon (Aybar) de Sosa was approached by SIM while in Chicago.,"Westrade, Inc.; Dominican Republic; Havana, Cuba; Santo Domingo, D.R.; Venezuelan ambassadorial position; SIM (potential organization)",,"Interview by LNERSO.; Association with Juan Bosch.; Victor Leon de Sosa married to Mary Boswell, involved with SIM.","Document marked as ""SECRET.""; For file:",704
,Fidel Castro; Bill Thompson,,,Series of exclusive interviews with Fidel Castro in Summer 1964.; Commented upon on 17 August 1964.; Denied Cuban visa in Fall 1965.; Allegedly wrote a report on foreign procurement of T-28 aircraft.,New York Herald Tribune; U.S.,,"Document offered for sale to a station contact by a local hotel operator, Bill Thompson, in October 1966.",Classified as SECRET.; For file:; ```plaintext,705
4-6-88 (Document creation date); 03-15-89 (Received date),"Hugh C. McDonald, President of World Associates, Inc.",,,"Cover potential for World Associates, Inc.","World Associates, Inc.; 406 Wilshire Blvd., Santa Monica, California 90401",,Not specified,"Classified as ""SECRET""; ```; For file:",706
"Document creation date; 6 April 1972; Other dates mentioned; 23 December 1971, 10 March 1972, June 1970 to present",Julie Paulas; Raymond H. Gerende; Theodore G. Shackley; Lawrence C. Laser,,,Request for a security review regarding knowledgeability of terminated agents and families.; Brief summary requested of Raymond H. Gerendes activities from June 1970 to present.,Mexico City; WH/1,,,Classification; SECRET; For file:,707
"Creation Date; 2 October 1970; Microfilmed Date; October 30, 1970",J.J. Barry; Alias; IDEN 'D',,,Request for IDEN 'D' to forward termination payment checks.,Mexico City; The Hague,,"Communication from Mexico City to The Hague.; Reference to prior communications with codes 8217, 3880, 057054, 057055.",Classified as SECRET,708
"First check for $750 for July, August, September.; Future monthly checks at $250/month to be sent.; Date on document; 30 Oct 196X (exact year partially obscured).",LIEPTY/19,,,Checks to be forwarded via international mail.; No direct correspondence with LIEPTY/19 planned by HQS.; Checks to begin arriving.,"Reference to ""The Hague.""",,Communication between HQS and LIEPTY/19.; FYI to The Hague.,"Document marked as ""SECRET.""; For file:; ```plaintext",709
Cite date; 6/7/23,"W.H. Eckstein; William V. Brob, Chief, WHD; John C. Murray, Chief, WH/1; Ref C; L/19; L/19 brother",,,"Attempted contact with ""LIEMITY/19"" in The Hague and Mexico City.; Payment arrangement for a monthly termination bonus of $250/month for 10 months or a total of $2500.; L/19 was corresponding with HQs on the matter.",The Hague; Mexico City; Hqs (Headquarters),,"HQs advised The Hague and Mexico City about contact attempts with ""LIEMITY/19.""; ""Ref C"" noted the attempt to use L/19's brother for funding purposes.; Rof A & B agreed with the approach.",Document marked as SECRET.; ```; For file:,710
8 July 1970; Mrs. Roos de Alvarez appeared at the main gate of the Headquarters building.; 13 July 1970; Mr. Maurice Roos called the Agency.; Document date; 21 Sept. 1970,Mrs. Roos de Alvarez; Mr. Paul Leverone; Mr. Maurice Roos; John C. Murray,,,"Mrs. Roos de Alvarez interviewed by Mr. Paul Leverone, statement taken.",Agency Headquarters; Mexico City,,Mrs. Roos given a telephone number for future contact while in the U.S.; Mr. Maurice Roos communicated his sisters return and contact information to the Agency.,"Document marked as ""SECRET""; For file:",711
Date; 5 Aug 1970; Born 24 Dec 30,Hester Roos; Ramon Joseph Alvarez Durant; Maurits Roos; W.H. Eckstein; William V. Broe,,,None,"Mexico City; The Hague, Netherlands; Bandung, Indonesia; Fort Belvoir, VA",,Reference to communication from The Hague to Mexico City,"Document marked as ""SECRET""; For file:",712
"6 July 1970; References to ""By 1200 Washington Time 7 July""",Charles M. Bounds; Gerende's Wife; Senior Representative JK Lance; William V. Broe; John C. Murray,,,"Gerende's wife desires contact with ""Senior Representative"" JK Lance.; Mention of a pending divorce action.; Status request for discussion between Gerende and his wife.",Priority Mexico City; Washington,,Communication involves a request for contact and advisability of headquarters discussion involving Gerende's wife.,"Classified as ""SECRET""; Portions of the document appear to have redactive markings.; For file:",713
6 May 1970; 31 May 1970; 30 June 1970,W.R. Hazen; William V. Broe; John C. Murray,,,Processing of Project LIEMPTY amendment.; Plan termination suggested for 30 June 1970 instead of 31 May 1970.; Termination payment authorization pending amendment approval.,Mexico City; Project LIEMPTY,,Message from chief and other officers within a coded communication system.; References a termination payment request.,"Document labeled as ""SECRET"".; Some information classified with handling instructions.; For file:",714
24 October 1968; 28 October 1968,,,,Subject contacted by Felix LULIA Naderese.; Meeting at the Embassy to address pending matters.,"Chief, WH Division; Chief of Station, Mexico City; Cuban COS (Chief of Station)",,LULIA reported contact with TIMOSSI.; Planned afternoon meeting at the Embassy between TIMOSSI and LULIA.,"Document marked as ""SECRET""; For file:",715
Reference Date; 19 August 1968; Document Date; 9 September 1968,Raymond E. (Surname redacted); Bernard A. (Surname redacted),,,Extension of a contract without amendments for one year.; Reference to a previous memo; HMMW-6971.; Mention of a change in cover company status.,"WH Division; Acting Chief of Station, Mexico City",,"Memo directed to Chief, WH Division from Acting Chief of Station, Mexico City.","Classification; SECRET; Several sections redacted, including surnames.; For file:",716
